track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
Both (feat. Drake),Gucci Mane,2016-12-16,1,spotify:track:5tFep7dXGd7vEJ668wTPux,0.12,0.843,0.175,0.402,0.0,0.636,0.052,0.778,0.0,0.214,0.561,0.75,0.333,0.246,0.115,0.891,0.0,2.191
This Town,Niall Horan,2017-10-20,0,spotify:track:0qvzXomUDJVaUboy2wMfiS,0.717,0.635,0.222,0.398,0.0,0.818,0.1,0.751,1.0,0.008,0.39,0.75,0.177,0.259,0.161,0.887,0.0,1.422
Shed a Light,Robin Schulz,2017-09-29,0,spotify:track:1eyrmeiDpdTkOmA839nPVQ,0.113,0.401,0.177,0.796,0.0,0.727,0.25,0.844,1.0,0.084,0.452,0.75,0.581,0.469,0.023,0.966,0.0,1.536
Not Going Home,DVBBS,2017-02-24,0,spotify:track:5mqjkbTgyEzxTQOArWTOs6,0.094,0.721,0.181,0.755,0.0,0.545,0.249,0.809,1.0,0.104,0.373,0.75,0.471,0.489,0.096,0.991,0.0,1.69
Somebody Else,VERITE,2016-09-09,1,spotify:track:34i4yxPrHWquuR4kjiivFO,0.202,0.631,0.222,0.597,0.001,1.0,0.199,0.808,0.0,0.037,0.421,0.75,0.459,0.433,0.17,0.872,0.0,1.278
For Whom The Bell Tolls,J. Cole,2016-12-09,1,spotify:track:3MWlVSkoLS1e66nlZ2tuWJ,0.54,0.535,0.107,0.415,0.0,0.909,0.288,0.679,0.0,0.015,0.163,0.75,0.166,0.348,0.073,0.782,0.0,1.148
4 Your Eyez Only,J. Cole,2016-12-09,1,spotify:track:1vvnYpYEMVB4aq9I6tHIEB,0.369,0.664,0.548,0.485,0.0,1.0,0.068,0.698,0.0,0.362,0.189,0.75,0.493,0.536,0.095,0.807,0.0,1.118
Ville Mentality,J. Cole,2016-12-09,1,spotify:track:2z3joGXrdGL2iEjIKQTiN1,0.75,0.867,0.18,0.383,0.0,0.636,0.107,0.769,0.0,0.048,0.439,0.5,0.646,0.342,0.223,0.809,0.0,1.136
All I Know,The Weeknd,2016-11-25,1,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,0.421,0.384,0.318,0.416,0.0,0.727,0.086,0.689,0.0,0.05,0.439,0.75,0.156,0.308,0.097,0.838,0.0,1.076
Solo Dance,Martin Jensen,2016-11-04,0,spotify:track:3hRi7ubt1NhroxTrdnjn4w,0.049,0.718,0.159,0.856,0.0,0.818,0.184,0.925,1.0,0.027,0.409,0.75,0.395,0.531,0.113,0.976,0.0,1.648
Baptized In Fire,Kid Cudi,2016-12-16,1,spotify:track:6WSBZroxQaO3FYEpT2ACFH,0.611,0.63,0.28,0.614,0.019,0.364,0.1,0.753,0.0,0.178,0.634,0.75,0.768,0.508,0.117,0.871,0.0,1.09
Foldin Clothes,J. Cole,2016-12-09,1,spotify:track:77IAeEz8LEchPN8UNjaTJ2,0.235,0.66,0.314,0.487,0.001,0.636,0.054,0.71,0.0,0.307,0.695,0.75,0.616,0.491,0.266,0.892,0.0,1.098
The Greatest (feat. Kendrick Lamar),Sia,2016-10-21,0,spotify:track:7xHWNBFm6ObGEQPaUxHuKO,0.01,0.623,0.197,0.732,0.001,0.091,0.037,0.818,1.0,0.258,0.878,0.75,0.737,0.6,0.08,0.916,0.0,1.139
Oh Lord,MiC LOWRY,2016-09-16,0,spotify:track:1XUiFMK48Yy4fgds8l9aLH,0.02,0.154,0.202,0.782,0.0,0.636,0.058,0.801,0.0,0.034,0.293,0.75,0.344,0.448,0.081,0.824,0.0,1.202
Blue Ain't Your Color,Keith Urban,2016-05-06,0,spotify:track:6wycnu8FWXsj68ig7BEot9,0.622,0.65,0.219,0.415,0.0,0.636,0.086,0.768,1.0,0.011,0.211,0.5,0.475,0.318,0.177,0.9,0.0,1.24
Hear Me Now,Alok,2016-10-21,0,spotify:track:39cmB3ZoTOLwOTq7tMNqKa,0.55,0.756,0.18,0.462,0.003,1.0,0.055,0.776,1.0,0.017,0.452,0.75,0.493,0.277,0.129,0.93,0.0,1.33
